ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,54,C:\Windows\system32\devicecensus.exe,2021-09-17 13:51:47,NA,False,Live Registry
1,55,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\Application,2021-08-28 17:05:36,NA,False,Live Registry
1,56,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,2021-08-27 14:01:15,NA,False,Live Registry
1,57,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\Application,2021-06-11 16:42:07,NA,False,Live Registry
1,58,C:\Windows\System32\sdiagnhost.exe,2019-12-07 09:09:50,NA,False,Live Registry
1,59,C:\Program Files\Common Files\AV\Kaspersky Lab\upgrade_launcher.exe,2021-05-25 11:09:54,NA,False,Live Registry
1,60,C:\Windows\system32\cleanmgr.exe,2021-04-16 15:53:09,NA,False,Live Registry
1,61,C:\Windows\system32\dstokenclean.exe,2020-12-11 20:36:28,NA,False,Live Registry
1,62,C:\Windows\system32\AppHostRegistrationVerifier.exe,2021-01-18 19:14:42,NA,False,Live Registry
1,63,C:\Windows\system32\disksnapshot.exe,2021-07-09 13:58:47,NA,False,Live Registry
1,64,C:\Windows\System32\WinBioPlugIns\FaceFodUninstaller.exe,2021-09-17 13:51:57,NA,False,Live Registry
1,65,C:\Windows\system32\defrag.exe,2021-01-18 19:16:11,NA,False,Live Registry
1,66,00000009	07e5524e55f70000	000a00004a640000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,,NA,False,Live Registry
1,67,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21070.22007.0_x64__8wekyb3d8bbwe\Application,2021-09-15 19:39:55,NA,False,Live Registry
1,68,C:\Windows\system32\ProvTool.exe,2021-03-04 19:35:37,NA,False,Live Registry
1,69,C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21061.10121.0_x64__8wekyb3d8bbwe\Application,2021-09-15 19:39:41,NA,False,Live Registry
1,70,C:\Windows\SystemApps\NcsiUwpApp_8wekyb3d8bbwe\Application,2021-06-11 16:42:00,NA,False,Live Registry
1,71,C:\Program Files\WindowsApps\Microsoft.Wallet_2.4.18324.0_x64__8wekyb3d8bbwe\Application,2021-09-15 19:39:56,NA,False,Live Registry
1,72,00000009	000a524527890000	000a00004bc80000	8664	Microsoft.ZuneVideo	8wekyb3d8bbwe	,,NA,False,Live Registry
1,73,0000000b	03e84a6103ff0000	03e84a6103ff0000	8664	NcsiUwpApp	8wekyb3d8bbwe	neutral,,NA,False,Live Registry
1,74,00000009	0002000447940000	000a000042ee0000	8664	Microsoft.Wallet	8wekyb3d8bbwe	,,NA,False,Live Registry
1,75,C:\Windows\system32\consent.exe,2021-01-18 19:15:29,NA,False,Live Registry
1,76,C:\Windows\regedit.exe,2021-01-18 19:16:18,NA,False,Live Registry
1,77,D:\Microsoft Visual Studio\2019\Community\Common7\IDE\PrivateAssemblies\ScriptedSandbox64.exe,2021-09-18 09:38:41,NA,False,Live Registry
1,78,D:\source\repos\usb_forensic\USB_Forensic\USB_Forensic\bin\Debug\USB_Forensic.exe,2021-09-18 10:12:53,NA,False,Live Registry
1,79,D:\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe,2019-04-30 19:36:44,NA,False,Live Registry
1,80,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x64\ServiceHub.DataWarehouseHost.exe,2021-05-27 17:54:18,NA,False,Live Registry
1,81,D:\Microsoft Visual Studio\2019\Community\MSBuild\Current\Bin\Roslyn\VBCSCompiler.exe,2021-09-18 09:38:56,NA,False,Live Registry
1,82,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe,2021-08-27 14:01:20,NA,False,Live Registry
1,83,D:\Notepad++\notepad++.exe,2021-08-21 11:16:22,NA,False,Live Registry
1,84,C:\Windows\SysWOW64\DllHost.exe,2020-12-11 20:37:26,NA,False,Live Registry
1,85,C:\Windows\System32\rundll32.exe,2021-01-18 19:15:33,NA,False,Live Registry
1,86,C:\Windows\system32\MpSigStub.exe,2021-09-12 08:53:44,NA,False,Live Registry
1,87,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.349.963.0.exe,2021-09-18 09:57:23,NA,False,Live Registry
1,88,C:\Windows\system32\wuauclt.exe,2021-09-17 13:51:44,NA,False,Live Registry
1,89,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2108.7-0\MpCmdRun.exe,2021-09-12 09:03:38,NA,False,Live Registry
1,90,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe,2021-08-23 06:00:40,NA,False,Live Registry
1,91,C:\Windows\system32\dmclient.exe,2021-09-17 13:51:38,NA,False,Live Registry
1,92,D:\Microsoft Visual Studio\2019\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\cmd\git.exe,2021-09-18 09:37:35,NA,False,Live Registry
1,93,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x64\ServiceHub.Host.CLR.x64.exe,2021-05-27 17:54:18,NA,False,Live Registry
1,94,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,2021-07-09 13:58:33,NA,False,Live Registry
1,95,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.AnyCPU\ServiceHub.TestWindowStoreHost.exe,2021-05-27 17:54:18,NA,False,Live Registry
