BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU\15\0,0,314,0,Desktop\Search Folder\Kaspersky Lab\Kaspersky Password Manager,Directory,Kaspersky Password Manager,0,2021-05-25 13:05:52,2021-09-15 18:10:40,2021-09-15 18:10:38,2021-09-28 16:55:27,22372,108,1,2021-09-28 16:55:27,2021-09-28 16:55:27,False,NTFS file system
BagMRU\2,0,0,0,Desktop\Shared Documents Folder (Users Files)\AppData,Users Files Folder,AppData,1,2021-05-25 08:43:38,2021-05-25 08:43:38,2021-05-25 13:04:50,2021-09-28 16:56:04,4467,111,1,,2021-09-28 16:56:04,False,NTFS file system
BagMRU\2,1,0,1,Desktop\Shared Documents Folder (Users Files)\source,Users Files Folder,source,1,2021-05-25 13:52:18,2021-05-25 13:52:18,2021-05-25 13:52:18,2021-09-28 16:56:04,93362,84,1,,,False,NTFS file system
BagMRU\2\0,0,188,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local,Directory,Local,4,2021-05-25 08:43:38,2021-05-25 13:05:52,2021-05-25 13:05:52,2021-05-25 13:07:40,4487,221,1,,2021-05-25 13:07:40,True,NTFS file system
BagMRU\2\0\0,0,0,3,Desktop\Shared Documents Folder (Users Files)\AppData\Local\GitHubDesktop,Directory,GitHubDesktop,1,2021-05-25 13:05:48,2021-05-25 13:05:56,2021-05-25 13:05:56,2021-09-14 17:19:09,20256,4,1,,,False,NTFS file system
BagMRU\2\0\0,1,0,2,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Microsoft,Directory,Microsoft,1,,,,2021-09-14 17:19:09,0,,1,,,False,
BagMRU\2\0\0,2,187,1,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Discord,Directory,Discord,1,2021-05-25 13:30:36,2021-09-03 15:10:28,2021-09-04 15:37:22,2021-09-14 17:19:09,39527,6,1,,,True,NTFS file system
BagMRU\2\0\0,3,215,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Temp,Directory,Temp,1,2021-05-25 08:43:38,2021-09-12 14:47:22,2021-09-12 14:47:22,2021-09-14 17:19:09,4488,353,1,,2021-09-14 17:19:09,True,NTFS file system
BagMRU\2\0\0\0,0,4,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\GitHubDesktop\app-2.8.1,Directory,app-2.8.1,0,2021-05-25 13:05:48,2021-05-25 13:05:52,2021-05-25 13:05:52,2021-05-25 13:07:40,20262,4,1,2021-05-25 13:07:40,2021-05-25 13:07:40,False,NTFS file system
BagMRU\2\0\0\1,0,0,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Microsoft\GFWLive,Directory,GFWLive,1,,,,2021-06-12 20:04:52,0,,1,,2021-06-12 20:04:52,False,
