SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\87d73c466dc84ae7.customDestinations-ms,2021-05-25 18:39:48,2021-09-15 13:16:51,2021-10-03 16:52:39,87d73c466dc84ae7,Unknown AppId,,,,,0,,,0,"IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,,,,,,,PropertyStoreDataBlock,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\87d73c466dc84ae7.customDestinations-ms,2021-05-25 18:39:48,2021-09-15 13:16:51,2021-10-03 16:52:39,87d73c466dc84ae7,Unknown AppId,,2021-09-10 13:35:04,2021-09-10 13:35:04,2021-09-15 13:05:13,35093120,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\CCleaner\CCleaner64.exe,,My Computer\D:\CCleaner\CCleaner64.exe,0x13F9B,0x7,desktop-91gu178,00:d8:61:2e:91:83,2021-09-12 09:17:38,"TrackerDataBaseBlock, PropertyStoreDataBlock",/CLEANER
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\87d73c466dc84ae7.customDestinations-ms,2021-05-25 18:39:48,2021-09-15 13:16:51,2021-10-03 16:52:39,87d73c466dc84ae7,Unknown AppId,,2021-09-10 13:35:04,2021-09-10 13:35:04,2021-09-15 13:05:13,35093120,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\CCleaner\CCleaner64.exe,,My Computer\D:\CCleaner\CCleaner64.exe,0x13F9B,0x7,desktop-91gu178,00:d8:61:2e:91:83,2021-09-12 09:17:38,"TrackerDataBaseBlock, PropertyStoreDataBlock",/REGISTRY
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\87d73c466dc84ae7.customDestinations-ms,2021-05-25 18:39:48,2021-09-15 13:16:51,2021-10-03 16:52:39,87d73c466dc84ae7,Unknown AppId,,2021-09-10 13:35:04,2021-09-10 13:35:04,2021-09-15 13:05:13,35093120,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\CCleaner\CCleaner64.exe,,My Computer\D:\CCleaner\CCleaner64.exe,0x13F9B,0x7,desktop-91gu178,00:d8:61:2e:91:83,2021-09-12 09:17:38,"TrackerDataBaseBlock, PropertyStoreDataBlock",/TOOLS
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\87d73c466dc84ae7.customDestinations-ms,2021-05-25 18:39:48,2021-09-15 13:16:51,2021-10-03 16:52:39,87d73c466dc84ae7,Unknown AppId,,2021-09-10 13:35:04,2021-09-10 13:35:04,2021-09-15 13:05:13,35093120,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\CCleaner\CCleaner64.exe,,My Computer\D:\CCleaner\CCleaner64.exe,0x13F9B,0x7,desktop-91gu178,00:d8:61:2e:91:83,2021-09-12 09:17:38,"TrackerDataBaseBlock, PropertyStoreDataBlock",/OPTIONS
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a55ed4fbb973aefb.customDestinations-ms,2021-05-26 09:19:41,2021-08-08 18:40:38,2021-10-03 16:52:39,a55ed4fbb973aefb,Microsoft Teams,,2021-05-26 09:19:34,2021-05-26 09:19:35,2021-08-08 18:40:24,104854792,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\AppData\Local\Microsoft\Teams\current\Teams.exe,,Shared Documents Folder (Users Files)\AppData\Local\Microsoft\Teams\current\Teams.exe,0x1AF03,0x6,desktop-91gu178,00:d8:61:2e:91:83,2021-05-25 14:00:14,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--openstatus --profile=AAD
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a55ed4fbb973aefb.customDestinations-ms,2021-05-26 09:19:41,2021-08-08 18:40:38,2021-10-03 16:52:39,a55ed4fbb973aefb,Microsoft Teams,,2021-05-26 09:19:34,2021-05-26 09:19:35,2021-08-08 18:40:24,104854792,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\AppData\Local\Microsoft\Teams\current\Teams.exe,,Shared Documents Folder (Users Files)\AppData\Local\Microsoft\Teams\current\Teams.exe,0x1AF03,0x6,desktop-91gu178,00:d8:61:2e:91:83,2021-05-25 14:00:14,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--newchat --profile=AAD
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a55ed4fbb973aefb.customDestinations-ms,2021-05-26 09:19:41,2021-08-08 18:40:38,2021-10-03 16:52:39,a55ed4fbb973aefb,Microsoft Teams,,2021-05-26 09:19:34,2021-05-26 09:19:35,2021-08-08 18:40:24,104854792,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\AppData\Local\Microsoft\Teams\current\Teams.exe,,Shared Documents Folder (Users Files)\AppData\Local\Microsoft\Teams\current\Teams.exe,0x1AF03,0x6,desktop-91gu178,00:d8:61:2e:91:83,2021-05-25 14:00:14,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--opensettings --profile=AAD
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a55ed4fbb973aefb.customDestinations-ms,2021-05-26 09:19:41,2021-08-08 18:40:38,2021-10-03 16:52:39,a55ed4fbb973aefb,Microsoft Teams,,2021-05-26 09:19:34,2021-05-26 09:19:35,2021-08-08 18:40:24,104854792,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\AppData\Local\Microsoft\Teams\current\Teams.exe,,Shared Documents Folder (Users Files)\AppData\Local\Microsoft\Teams\current\Teams.exe,0x1AF03,0x6,desktop-91gu178,00:d8:61:2e:91:83,2021-05-25 14:00:14,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--logout --profile=AAD
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a55ed4fbb973aefb.customDestinations-ms,2021-05-26 09:19:41,2021-08-08 18:40:38,2021-10-03 16:52:39,a55ed4fbb973aefb,Microsoft Teams,,2021-05-26 09:19:34,2021-05-26 09:19:35,2021-08-08 18:40:24,104854792,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\AppData\Local\Microsoft\Teams\current\Teams.exe,,Shared Documents Folder (Users Files)\AppData\Local\Microsoft\Teams\current\Teams.exe,0x1AF03,0x6,desktop-91gu178,00:d8:61:2e:91:83,2021-05-25 14:00:14,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--quit --profile=AAD
