SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\4cb9c5750d51c07f.automaticDestinations-ms,7/7/2021 17:03,7/7/2021 18:45,10/3/2021 16:52,4cb9c5750d51c07f,Microsoft Movies & TV (Build 10.19031.11411.0),4,7,5,2,7/7/2021 11:23,7/7/2021 17:07,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,C:\Users\Klim\Videos\2021-07-07 21-06-25.mkv,1,FALSE,c7f7b14c-df15-11eb-b8aa-00d8612e9183,c7f7b14c-df15-11eb-b8aa-00d8612e9183,d5321a3e-bf64-4c58-affa-6bd383a99b56,d5321a3e-bf64-4c58-affa-6bd383a99b56,7/7/2021 17:06,7/7/2021 17:07,7/7/2021 17:07,55769864,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\Videos\2021-07-07 21-06-25.mkv,,My Computer\C:\Users\Klim\Videos\2021-07-07 21-06-25.mkv,0x4D78,0x12,desktop-91gu178,00:d8:61:2e:91:83,7/7/2021 11:23,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\4cb9c5750d51c07f.automaticDestinations-ms,7/7/2021 17:03,7/7/2021 18:45,10/3/2021 16:52,4cb9c5750d51c07f,Microsoft Movies & TV (Build 10.19031.11411.0),4,7,6,1,7/7/2021 11:23,7/7/2021 17:03,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,C:\Users\Klim\Videos\2021-07-07 20-46-23.mkv,1,FALSE,c7f7b120-df15-11eb-b8aa-00d8612e9183,c7f7b120-df15-11eb-b8aa-00d8612e9183,d5321a3e-bf64-4c58-affa-6bd383a99b56,d5321a3e-bf64-4c58-affa-6bd383a99b56,7/7/2021 16:46,7/7/2021 17:03,7/7/2021 17:03,333643270,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\Videos\2021-07-07 20-46-23.mkv,,My Computer\C:\Users\Klim\Videos\2021-07-07 20-46-23.mkv,0x35CF,0xFA,desktop-91gu178,00:d8:61:2e:91:83,7/7/2021 11:23,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5d696d521de238c3.automaticDestinations-ms,5/26/2021 9:38,9/28/2021 15:32,10/3/2021 16:52,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,4,37,0,25,,9/28/2021 15:32,,,D:\source\repos\usb_forensic\dfir_cheat_sheet.pdf,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\dfir_cheat_sheet.pdf,,My Computer\D:\source\repos\usb_forensic\dfir_cheat_sheet.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5d696d521de238c3.automaticDestinations-ms,5/26/2021 9:38,9/28/2021 15:32,10/3/2021 16:52,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,4,37,1,24,,9/19/2021 10:57,,,D:\source\repos\usb_forensic\Tools\USB storage forensics in Win10 #1 - Events.html,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Tools\USB storage forensics in Win10 #1 - Events.html,,My Computer\D:\source\repos\usb_forensic\Tools\USB storage forensics in Win10 #1 - Events.html,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5d696d521de238c3.automaticDestinations-ms,5/26/2021 9:38,9/28/2021 15:32,10/3/2021 16:52,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,4,37,2,23,,9/18/2021 7:24,,,D:\Univer\5year\NPAs\RKN_RAZJASN_PD_RABOTNIKOV.pdf,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\5year\NPAs\RKN_RAZJASN_PD_RABOTNIKOV.pdf,,My Computer\D:\Univer\5year\NPAs\RKN_RAZJASN_PD_RABOTNIKOV.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5d696d521de238c3.automaticDestinations-ms,5/26/2021 9:38,9/28/2021 15:32,10/3/2021 16:52,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,4,37,3,22,,9/18/2021 7:18,,,D:\Univer\5year\NPAs\FSTEK_180421_77.pdf,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\5year\NPAs\FSTEK_180421_77.pdf,,My Computer\D:\Univer\5year\NPAs\FSTEK_180421_77.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5d696d521de238c3.automaticDestinations-ms,5/26/2021 9:38,9/28/2021 15:32,10/3/2021 16:52,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,4,37,4,21,,9/18/2021 6:45,,,D:\Univer\5year\NPAs\FAPSI_130601_152.pdf,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\5year\NPAs\FAPSI_130601_152.pdf,,My Computer\D:\Univer\5year\NPAs\FAPSI_130601_152.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5d696d521de238c3.automaticDestinations-ms,5/26/2021 9:38,9/28/2021 15:32,10/3/2021 16:52,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,4,37,5,20,,9/18/2021 6:45,,,D:\Univer\5year\NPAs\GOST_ISO_MEK_19794-5-2013.pdf,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\5year\NPAs\GOST_ISO_MEK_19794-5-2013.pdf,,My Computer\D:\Univer\5year\NPAs\GOST_ISO_MEK_19794-5-2013.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5d696d521de238c3.automaticDestinations-ms,5/26/2021 9:38,9/28/2021 15:32,10/3/2021 16:52,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,4,37,6,1F,,9/18/2021 6:44,,,D:\Univer\5year\NPAs\GOST_R_59407-2021.pdf,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\5year\NPAs\GOST_R_59407-2021.pdf,,My Computer\D:\Univer\5year\NPAs\GOST_R_59407-2021.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5d696d521de238c3.automaticDestinations-ms,5/26/2021 9:38,9/28/2021 15:32,10/3/2021 16:52,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,4,37,7,1E,,9/18/2021 6:43,,,D:\Univer\5year\NPAs\GOST_ISO_IEC_29100-2013.pdf,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\5year\NPAs\GOST_ISO_IEC_29100-2013.pdf,,My Computer\D:\Univer\5year\NPAs\GOST_ISO_IEC_29100-2013.pdf,0x0,,,,,PropertyStoreDataBlock,,
