SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\20210914210648_LECmd_Output.csv.LNK,9/14/2021 17:07,9/14/2021 17:07,9/14/2021 17:15,9/14/2021 17:06,9/14/2021 17:06,9/14/2021 17:07,72740,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\20210914210648_LECmd_Output.csv,,,,My Computer\D:\source\repos\usb_forensic\20210914210648_LECmd_Output.csv,0x6A580,0x3,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,9/12/2021 9:17,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\Downloads.LNK,8/16/2021 12:02,8/16/2021 12:02,9/14/2021 17:15,5/25/2021 17:48,8/16/2021 12:02,8/16/2021 12:02,8192,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads,,,,My Computer\D:\Downloads,0x18AFD,0x2,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,5/25/2021 14:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\Templates.LNK,5/26/2021 9:06,5/26/2021 9:06,9/14/2021 17:15,5/26/2021 9:01,5/26/2021 9:06,5/26/2021 9:06,0,..\..\Templates,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\AppData\Roaming\Microsoft\Templates,,,,My Computer\C:\Users\Klim\AppData\Roaming\Microsoft\Templates,0x16B6,0x377,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,5/25/2021 14:00,"SpecialFolderDataBlock, KnownFolderDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\восстановление_при_отч.doc.LNK,8/14/2021 13:13,8/16/2021 12:02,9/14/2021 17:15,8/14/2021 13:13,8/15/2021 19:16,8/16/2021 11:58,33792,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\восстановление_при_отч.doc,,,,My Computer\D:\Downloads\восстановление_при_отч.doc,0x3B38F,0x3,desktop-91gu178,00:1a:7d:da:71:05,CYBER-BLUE,8/2/2021 21:59,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\Заявление_Четвериков.doc.LNK,8/16/2021 12:02,8/17/2021 9:47,9/14/2021 17:15,8/16/2021 12:02,8/17/2021 9:47,8/17/2021 9:47,34304,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\Заявление_Четвериков.doc,,,,My Computer\D:\Downloads\Заявление_Четвериков.doc,0x3B394,0x4,desktop-91gu178,00:1a:7d:da:71:05,CYBER-BLUE,8/15/2021 19:16,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\ЛР ТПЗАС Жданов Владислав.docx.LNK,9/14/2021 12:48,9/14/2021 12:48,9/14/2021 17:15,9/4/2021 6:23,11/30/2019 9:15,9/4/2021 6:23,269854,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode","Removable storage media (Floppy, USB)",46194114,SANDISK USB,E:\5 курс\С09-361-1\ЛР ТПЗАС Жданов Владислав.docx,,,,My Computer\E:\5 курс\С09-361-1\ЛР ТПЗАС Жданов Владислав.docx,0x8F718140,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\ОТЧЕТ по практике.docx.LNK,9/14/2021 12:47,9/14/2021 12:47,9/14/2021 17:15,9/4/2021 6:23,11/2/2019 8:46,9/4/2021 6:23,286284,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode","Removable storage media (Floppy, USB)",46194114,SANDISK USB,E:\5 курс\С09-361-1\ОТЧЕТ по практике.docx,,,,My Computer\E:\5 курс\С09-361-1\ОТЧЕТ по практике.docx,0x8F7182C0,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\Отчет_Буров_Глухих.docx (2).LNK,9/14/2021 12:57,9/14/2021 12:57,9/14/2021 17:15,9/4/2021 6:44,9/14/2021 12:55,9/14/2021 12:55,127604,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode","Removable storage media (Floppy, USB)",46194114,SANDISK USB,E:\5 курс\С09-361-1\Отчет_Буров_Глухих.docx,,,,My Computer\E:\5 курс\С09-361-1\Отчет_Буров_Глухих.docx,0x8F7194A0,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\Отчет_Буров_Глухих.docx.LNK,9/14/2021 12:47,9/14/2021 12:57,9/14/2021 17:15,9/4/2021 6:44,9/14/2021 12:55,9/14/2021 12:55,127604,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode","Removable storage media (Floppy, USB)",46194114,SANDISK USB,E:\5 курс\С09-361-1\Отчет_Буров_Глухих.docx,,,,My Computer\E:\5 курс\С09-361-1\Отчет_Буров_Глухих.docx,0x8F7194A0,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Office\Recent\Практика.docx.LNK,6/26/2021 19:43,6/30/2021 15:44,9/14/2021 17:15,6/26/2021 19:43,6/28/2021 16:12,6/30/2021 15:44,617884,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\Практика.docx,,,,My Computer\D:\Downloads\Практика.docx,0x33091,0x35,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,6/25/2021 17:54,"TrackerDataBaseBlock, PropertyStoreDataBlock"
