SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Sources.lnk,2021-10-02 08:13:05,2021-10-02 08:14:01,2021-10-03 16:43:18,2021-10-02 08:12:58,2021-10-02 08:14:01,2021-10-02 08:14:01,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Sources,,,,My Computer\D:\source\repos\usb_forensic\Sources,0x35FAE,0x8,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\SRUM.lnk,2021-10-02 08:13:16,2021-10-02 08:13:16,2021-10-03 16:43:18,2021-10-02 08:13:13,2021-10-02 08:13:13,2021-10-02 08:13:16,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Sources\SRUM,,,,My Computer\D:\source\repos\usb_forensic\Sources\SRUM,0x35FB0,0x7,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\SrumECmd.lnk,2021-10-02 08:04:44,2021-10-02 08:08:11,2021-10-03 16:43:18,2021-10-02 08:00:22,2021-10-02 08:04:24,2021-10-02 08:08:11,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Tools\SrumECmd,,,,My Computer\D:\Tools\SrumECmd,0x31F1A,0x9,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Syaktereva.lnk,2021-09-20 18:18:50,2021-10-03 07:45:12,2021-10-03 16:43:18,2021-09-20 18:18:44,2021-10-03 07:45:12,2021-10-03 07:45:12,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\Syaktereva,,,,My Computer\D:\Univer\Syaktereva,0x35FAA,0x6,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-19 07:29:31,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Texts.lnk,2021-09-21 16:33:51,2021-10-03 11:37:16,2021-10-03 16:43:18,2021-09-21 16:33:46,2021-09-21 18:32:33,2021-10-03 11:37:16,8192,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\InfoSec_Labs\PDn\NPAs\Texts,,,,My Computer\D:\source\repos\InfoSec_Labs\PDn\NPAs\Texts,0x31F08,0x7,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-19 07:29:31,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\The Internet.lnk,2021-05-26 08:53:18,2021-10-01 13:07:03,2021-10-03 16:43:18,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage),,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\This PC.lnk,2021-05-25 13:08:55,2021-10-02 06:16:07,2021-10-03 16:43:18,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,My Computer,,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\TK_RF.txt.lnk,2021-09-26 07:52:00,2021-09-26 07:52:00,2021-10-03 16:43:18,2021-09-21 17:30:44,2021-09-21 17:30:44,2021-09-26 07:52:00,1522804,,D:\source\repos\InfoSec_Labs\PDn\NPAs\Texts,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\InfoSec_Labs\PDn\NPAs\Texts\TK_RF.txt,,,,My Computer\D:\source\repos\InfoSec_Labs\PDn\NPAs\Texts\TK_RF.txt,0x3632E,0x4,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-19 07:29:31,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Trash (2).lnk,2021-09-28 19:02:01,2021-10-01 15:42:37,2021-10-03 16:43:18,2021-05-25 14:58:15,2021-10-01 15:42:37,2021-10-01 15:42:37,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Trash,,,,My Computer\D:\Trash,0x1828D,0x5,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-05-25 14:00:14,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Trash.lnk,2021-05-25 14:58:18,2021-06-10 18:57:23,2021-10-03 16:43:18,2021-05-25 14:58:15,2021-06-10 18:57:23,2021-06-10 18:57:23,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Trash,,,,My Computer\D:\Trash,0x1828D,0x5,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-05-25 14:00:14,"TrackerDataBaseBlock, PropertyStoreDataBlock"
