KeyName,LnkName,KeyLastWriteTimestamp
control panel.ln|689270c5776d92ec,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Control Panel.lnk,2021-05-26 08:54:49
cpuid hwmonitor.|65fe4fa2e83400a3,C:\Users\Public\Desktop\CPUID HWMonitor.lnk,2021-07-01 14:24:33
cracking sands r|ad82c4a40882c46e,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Приложения Chrome\Cracking Sands Racing.lnk,2021-05-26 08:54:49
cut the rope.lnk|83cc487f14ceb912,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Приложения Chrome\Cut the Rope.lnk,2021-05-26 08:54:49
database engine |83d32ca5d4ebfeca,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft SQL Server Tools 18\Performance Tools\Database Engine Tuning Advisor 18.lnk,2021-05-26 08:54:46
debuggable packa|228c48ea07ac51be,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Debuggable Package Manager.lnk,2021-05-26 08:54:46
debugging help.l|9d1bbb7c04c97732,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Debugging Tools for Windows (X64)\Debugging Help.lnk,2021-08-22 16:34:12
debugging help.l|bb1b77a2bb794eb1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Debugging Tools for Windows (X86)\Debugging Help.lnk,2021-08-22 16:34:12
designer 6.1.2 (|9211e84bf960c2f,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Qt\6.1.2\MinGW 8.1.0 (64-bit)\Designer 6.1.2 (MinGW 8.1.0 64-bit).lnk,2021-08-22 16:34:13
desktop.lnk|fc8027eb1ab86042,c:\users\klim\Desktop\Forensic\Recent\Desktop.lnk,2021-09-13 10:09:13
developer comman|2fc8adbdd2ebc800,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Developer Command Prompt for VS 2019.lnk,2021-05-26 08:54:46
developer powers|4c7d0534bc5a2af3,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Developer PowerShell for VS 2019.lnk,2021-05-26 08:54:46
dfrgui.lnk|6d94f7be43a3a3a6,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\dfrgui.lnk,2021-05-26 08:54:41
discord.lnk|649c1d0bdbd90c98,c:\users\klim\Desktop\Discord.lnk,2021-05-26 08:54:49
discord.lnk|a30106414c795878,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Discord Inc\Discord.lnk,2021-05-26 08:54:49
disk cleanup.lnk|62909f750f89c6e5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Disk Cleanup.lnk,2021-05-26 08:54:41
documentation fo|1928444bd39b1fd8,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Documentation for Windows Store Apps.lnk,2021-05-26 08:54:47
documentation fo|ae6744a3d9e98e18,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Documentation for Desktop Apps.lnk,2021-05-26 08:54:47
documentation.ln|f5c6a4916a5b0e69,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Azure\Microsoft Azure SDK for .NET\v2.9\Documentation.lnk,2021-05-26 08:54:46
downloads (2).ln|2ee275c9288a5f27,c:\users\klim\Desktop\Forensic\Recent\Downloads (2).lnk,2021-09-13 10:09:13
downloads (3).ln|8102333442728465,c:\users\klim\Desktop\Forensic\Recent\Downloads (3).lnk,2021-09-13 10:09:13
downloads (4).ln|d22adc88afc4f7,c:\users\klim\Desktop\Forensic\Recent\Downloads (4).lnk,2021-09-13 10:09:13
downloads (5).ln|e400644514394793,c:\users\klim\Desktop\Forensic\Recent\Downloads (5).lnk,2021-09-13 10:09:13
downloads (6).ln|4bf1b379b2baff7e,c:\users\klim\Desktop\Forensic\Recent\Downloads (6).lnk,2021-09-13 10:09:13
downloads.lnk|3a4e739c6c770e3,c:\users\klim\Desktop\Forensic\Recent\Downloads.lnk,2021-09-13 10:09:13
dr.web help (eng|fa86d170b1cd134e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Dr.Web\Dr.Web Help (English).lnk,2021-09-20 16:49:51
dr.web scanner.l|24e08223a0cf85e,C:\Users\Public\Desktop\Dr.Web Scanner.lnk,2021-09-20 16:49:51
dr.web scanner.l|bc4cc1f0c7ff49bf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Dr.Web\Dr.Web Scanner.lnk,2021-09-20 16:49:51
driver booster 8|946d69f86755b7fa,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Driver Booster 8\Driver Booster 8.lnk,2021-05-29 12:27:10
einreiseanmeldun|13e647cb471a573d,c:\users\klim\Desktop\Forensic\Recent\Einreiseanmeldung (1).pdf.lnk,2021-09-13 10:09:13
einreiseanmeldun|ca76d33a46fe04b6,c:\users\klim\Desktop\Forensic\Recent\Einreiseanmeldung (2).pdf.lnk,2021-09-13 10:09:13
einreiseanmeldun|ee61c52758868798,c:\users\klim\Desktop\Forensic\Recent\Einreiseanmeldung.pdf.lnk,2021-09-13 10:09:13
eula.lnk|f0fd50e1053b3126,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2019 Tools for Unity\EULA.lnk,2021-05-26 08:54:46
event viewer.lnk|53b878dde735fea7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk,2021-05-26 08:54:41
excel.lnk|55a857be1a997a6a,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Excel.lnk,2021-05-27 14:23:30
file explorer.ln|34c1291452e6b30,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\File Explorer.lnk,2021-05-26 08:54:49
filipp-burovaele|a16469f498673109,c:\users\klim\Desktop\Forensic\Recent\Filipp-BurovaElenaGrigorevna_19072021141000.pdf.lnk,2021-09-13 10:09:13
forensic.lnk|444e84d25432e41d,c:\users\klim\Desktop\Forensic\Recent\Forensic.lnk,2021-09-13 10:09:13
games for window|453b8feec6a13e7f,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Games for Windows Marketplace\Games for Windows Marketplace.lnk,2021-06-15 14:56:37
git bash.lnk|ec7a3eb174798f3d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Git\Git Bash.lnk,2021-08-22 16:34:11
git cmd.lnk|30c68c41e25c922e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Git\Git CMD.lnk,2021-08-22 16:34:11
git gui.lnk|7a703d48ee80b130,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Git\Git GUI.lnk,2021-08-22 16:34:12
git release note|c221a296b96f6d3f,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Git\Git Release Notes.lnk,2021-08-22 16:34:12
github desktop.l|10bc32186bada19,"c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\GitHub, Inc\GitHub Desktop.lnk",2021-05-26 08:54:49
github desktop.l|6d6d4d38ebbe51cf,c:\users\klim\Desktop\GitHub Desktop.lnk,2021-05-26 08:54:49
global flags (x6|51a26b776a3dc164,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Debugging Tools for Windows (X64)\Global Flags (X64).lnk,2021-08-22 16:34:12
global flags (x8|53c6483f43c36c32,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Debugging Tools for Windows (X86)\Global Flags (X86).lnk,2021-08-22 16:34:12
google chrome.ln|32f2f2b02e508cef,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Google Chrome.lnk,2021-05-26 08:54:46
google chrome.ln|fd5a6049317900fa,C:\Users\Public\Desktop\Google Chrome.lnk,2021-05-26 08:54:47
happy friday!.ln|f15625b1b3437945,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Приложения Chrome\Happy Friday!.lnk,2021-05-26 08:54:49
httpsniffer.lnk|3dbe9063fae75d1d,c:\users\klim\Desktop\Forensic\Recent\HTTPSniffer.lnk,2021-09-13 10:09:13
httpsniffer.sln.|6a69e7154e93394a,c:\users\klim\Desktop\Forensic\Recent\HTTPSniffer.sln.lnk,2021-09-13 10:09:13
httpsniffer.zip.|f23b893dde1bcd31,c:\users\klim\Desktop\Forensic\Recent\HTTPSniffer.zip.lnk,2021-09-13 10:09:13
hwmonitor.lnk|ab4ede97f393f03,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\CPUID\HWMonitor\HWMonitor.lnk,2021-07-01 14:24:33
hyper-v manager.|804be627040b0af0,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Hyper-V Manager.lnk,2021-05-26 08:54:41
iis client manag|eff290993eb875b1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\IIS\IIS Client Manager.lnk,2021-05-26 08:54:46
iis manager.lnk|a11bfed991f23c1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\IIS Manager.lnk,2021-05-26 08:54:41
internet explore|5d87dbf12c1380f7,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Internet Explorer.lnk,2021-05-26 08:54:49
iscsi initiator.|afb67f6079313688,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\iSCSI Initiator.lnk,2021-05-26 08:54:41
kaspersky anti-v|1ee9fcacd51cd491,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Security Cloud 21.3\Desktop\kav\Kaspersky Anti-Virus.lnk,2021-05-26 08:54:48
kaspersky anti-v|bb8bda2bfeb2fad8,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Security Cloud 21.3\StartMenu\kav\Kaspersky Anti-Virus\Kaspersky Anti-Virus.lnk,2021-05-26 08:54:48
kaspersky free.l|c61902cd8be7ad03,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Security Cloud 21.3\Desktop\kfa\Kaspersky Free.lnk,2021-05-26 08:54:48
kaspersky free.l|cd51e44fda22cac3,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Security Cloud 21.3\StartMenu\kfa\Kaspersky Free\Kaspersky Free.lnk,2021-05-26 08:54:48
kaspersky intern|5bb4258ad8b5177b,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Security Cloud 21.3\Desktop\kis\Kaspersky Internet Security.lnk,2021-05-26 08:54:48
kaspersky intern|b4a3c63f47377f4e,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Security Cloud 21.3\StartMenu\kis\Kaspersky Internet Security\Kaspersky Internet Security.lnk,2021-05-26 08:54:48
kaspersky passwo|3a69831071d38e2a,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Kaspersky Password Manager\Kaspersky Password Manager Справка.lnk,2021-05-26 08:54:46
