Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,ConnectedTime,ConnectStartTime,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
31,2021-09-14 12:01:00,,,,UnknownOrUserSid,,,2,1,334,2021-09-13 10:05:23.0527326,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
32,2021-09-14 12:01:00,,,,UnknownOrUserSid,,,2,1,182557,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
33,2021-09-14 12:01:00,,,,UnknownOrUserSid,,,2,1,182557,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
34,2021-09-14 12:01:00,,,,UnknownOrUserSid,,,2,1,93315,2021-09-13 10:05:31.2279512,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
35,2021-09-14 13:01:00,,,,UnknownOrUserSid,,,2,1,93315,2021-09-13 10:05:31.2279512,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
36,2021-09-14 13:01:00,,,,UnknownOrUserSid,,,2,1,3611,2021-09-14 12:00:48.0868928,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
37,2021-09-14 13:01:00,,,,UnknownOrUserSid,,,2,1,186170,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
38,2021-09-14 13:01:00,,,,UnknownOrUserSid,,,2,1,186170,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
39,2021-09-14 13:01:00,,,,UnknownOrUserSid,,,2,1,3603,2021-09-14 12:00:56.0891588,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
40,2021-09-14 14:01:00,,,,UnknownOrUserSid,,,2,1,7211,2021-09-14 12:00:48.0868928,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
41,2021-09-14 14:01:00,,,,UnknownOrUserSid,,,2,1,189770,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
42,2021-09-14 14:01:00,,,,UnknownOrUserSid,,,2,1,189770,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
43,2021-09-14 14:01:00,,,,UnknownOrUserSid,,,2,1,7203,2021-09-14 12:00:56.0891588,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
44,2021-09-14 15:02:00,,,,UnknownOrUserSid,,,2,1,10871,2021-09-14 12:00:48.0868928,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
45,2021-09-14 15:02:00,,,,UnknownOrUserSid,,,2,1,193430,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
46,2021-09-14 15:02:00,,,,UnknownOrUserSid,,,2,1,193430,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
47,2021-09-14 15:02:00,,,,UnknownOrUserSid,,,2,1,10863,2021-09-14 12:00:56.0891588,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
48,2021-09-14 16:03:00,,,,UnknownOrUserSid,,,2,1,14531,2021-09-14 12:00:48.0868928,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
49,2021-09-14 16:03:00,,,,UnknownOrUserSid,,,2,1,197090,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
50,2021-09-14 16:03:00,,,,UnknownOrUserSid,,,2,1,197090,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
51,2021-09-14 16:03:00,,,,UnknownOrUserSid,,,2,1,14523,2021-09-14 12:00:56.0891588,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
52,2021-09-14 17:03:00,,,,UnknownOrUserSid,,,2,1,18131,2021-09-14 12:00:48.0868928,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
53,2021-09-14 17:03:00,,,,UnknownOrUserSid,,,2,1,200690,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
54,2021-09-14 17:03:00,,,,UnknownOrUserSid,,,2,1,200690,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
55,2021-09-14 17:03:00,,,,UnknownOrUserSid,,,2,1,18123,2021-09-14 12:00:56.0891588,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
56,2021-09-14 18:04:00,,,,UnknownOrUserSid,,,2,1,21791,2021-09-14 12:00:48.0868928,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
57,2021-09-14 18:04:00,,,,UnknownOrUserSid,,,2,1,204350,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
58,2021-09-14 18:04:00,,,,UnknownOrUserSid,,,2,1,204350,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
59,2021-09-14 18:04:00,,,,UnknownOrUserSid,,,2,1,21783,2021-09-14 12:00:56.0891588,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
60,2021-09-15 11:12:00,,,,UnknownOrUserSid,,,2,1,23862,2021-09-14 12:00:48.0868928,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
61,2021-09-15 11:12:00,,,,UnknownOrUserSid,,,2,1,265989,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
62,2021-09-15 11:12:00,,,,UnknownOrUserSid,,,2,1,265989,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
63,2021-09-15 11:12:00,,,,UnknownOrUserSid,,,2,1,83395,2021-09-14 12:00:56.0891588,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
64,2021-09-15 11:12:00,,,,UnknownOrUserSid,,,2,1,3,2021-09-15 11:10:55.2455890,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
65,2021-09-15 11:12:00,,,,UnknownOrUserSid,,,2,1,25,2021-09-15 11:10:53.1945916,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
66,2021-09-15 11:12:00,,,,UnknownOrUserSid,,,2,1,16,2021-09-15 11:11:01.5627747,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
67,2021-09-15 12:50:00,,,,UnknownOrUserSid,,,2,1,78,2021-09-15 11:10:53.1945916,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
68,2021-09-15 12:50:00,,,,UnknownOrUserSid,,,2,1,271896,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
69,2021-09-15 12:50:00,,,,UnknownOrUserSid,,,2,1,271896,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
70,2021-09-15 12:50:00,,,,UnknownOrUserSid,,,2,1,5878,2021-09-15 11:11:01.5627747,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
71,2021-09-15 12:50:00,,,,UnknownOrUserSid,,,2,1,44,2021-09-15 12:49:01.1472818,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
72,2021-09-15 12:50:00,,,,UnknownOrUserSid,,,2,1,43,2021-09-15 12:49:02.4103243,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
73,2021-09-15 13:50:00,,,,UnknownOrUserSid,,,2,1,3658,2021-09-15 12:49:01.1472818,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
74,2021-09-15 13:50:00,,,,UnknownOrUserSid,,,2,1,275510,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
75,2021-09-15 13:50:00,,,,UnknownOrUserSid,,,2,1,275510,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
76,2021-09-15 13:50:00,,,,UnknownOrUserSid,,,2,1,3657,2021-09-15 12:49:02.4103243,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
77,2021-09-15 14:51:00,,,,UnknownOrUserSid,,,2,1,4840,2021-09-15 12:49:01.1472818,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
78,2021-09-15 14:51:00,,,,UnknownOrUserSid,,,2,1,279164,2021-09-12 09:18:09.3446885,1689399683186688,IF_TYPE_ETHERNET_CSMACD,0,0,
79,2021-09-15 14:51:00,,,,UnknownOrUserSid,,,2,1,279164,2021-09-12 09:18:09.3290615,1689399699963904,IF_TYPE_ETHERNET_CSMACD,0,0,
80,2021-09-15 14:51:00,,,,UnknownOrUserSid,,,2,1,7294,2021-09-15 12:49:02.4103243,1689399716741120,IF_TYPE_ETHERNET_CSMACD,0,0,
