Id,Timestamp,UserId,AppId,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,StartTime,EndTime,Flags,Duration
1,2021-09-12 10:19:00,4,63,C103,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:37:00.0105299,2021-09-12 10:18:00.0154102,0,00:41:00.0048803
2,2021-09-12 10:19:00,4,64,C112,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:34:00.0102326,2021-09-12 10:18:00.0154102,0,00:44:00.0051776
3,2021-09-12 10:19:00,4,65,C119,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:23:00.0158801,2021-09-12 10:02:00.0098898,0,00:38:59.9940097
4,2021-09-12 10:19:00,4,66,C102,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:23:00.0158801,2021-09-12 10:19:00.0124644,0,00:55:59.9965843
5,2021-09-12 10:19:00,4,67,C115,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:23:00.0158801,2021-09-12 10:02:00.0098898,0,00:38:59.9940097
6,2021-09-12 10:19:00,4,68,U,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:18:00.0012103,2021-09-12 10:13:00.0030020,0,00:55:00.0017917
7,2021-09-12 10:19:00,4,69,C107,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:23:00.0158801,2021-09-12 10:02:00.0098898,0,00:38:59.9940097
8,2021-09-12 10:19:00,4,70,C101,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:18:00.0012103,2021-09-12 10:18:00.0154102,0,01:00:00.0141999
9,2021-09-12 10:19:00,4,71,C105,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:23:00.0158801,2021-09-12 10:19:00.0124644,0,00:55:59.9965843
10,2021-09-12 10:19:00,4,72,C125,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:18:00.0012103,2021-09-12 10:02:00.0098898,0,00:44:00.0086795
11,2021-09-12 10:19:00,4,73,C114,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:23:00.0158801,2021-09-12 10:18:00.0154102,0,00:54:59.9995301
12,2021-09-12 10:19:00,4,74,C127,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:18:00.0012103,2021-09-12 10:02:00.0098898,0,00:44:00.0086795
13,2021-09-12 10:19:00,4,75,C104,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:23:00.0158801,2021-09-12 10:18:00.0154102,0,00:54:59.9995301
14,2021-09-12 10:19:00,4,76,C100,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,2021-09-12 09:18:00.0012103,2021-09-12 10:18:00.0154102,0,01:00:00.0141999
