Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,BackgroundBytesRead,BackgroundBytesWritten,BackgroundContextSwitches,BackgroundCycleTime,BackgroundNumberOfFlushes,BackgroundNumReadOperations,BackgroundNumWriteOperations,FaceTime,ForegroundBytesRead,ForegroundBytesWritten,ForegroundContextSwitches,ForegroundCycleTime,ForegroundNumberOfFlushes,ForegroundNumReadOperations,ForegroundNumWriteOperations
971,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\audiodg.exe,,,LocalService,S-1-5-19,,13,466,0,0,0,0,0,0,0,7.0284E+11,289792,0,21461,4587275879,0,15,0
972,9/13/2021 10:06,\Device\HarddiskVolume5\ProgramData\Microsoft\Windows Defender\Platform\4.18.2108.7-0\NisSrv.exe,,,LocalService,S-1-5-19,,13,468,0,0,0,0,0,0,0,7.1004E+11,0,0,42561,17397418958,0,0,0
973,9/13/2021 10:06,\Device\HarddiskVolume1\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlceip.exe,,,UnknownOrUserSid,S-1-5-80-2652535364-2169709536-2857650723-2622804123-1107741775,,58,469,0,0,0,0,0,0,0,7.1004E+11,1040384,307200,1479,522147517,3,44,73
974,9/13/2021 10:06,\Device\HarddiskVolume1\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlservr.exe,,,UnknownOrUserSid,S-1-5-80-3880718306-3832830129-1677859214-2598158968-1052248003,,151,470,0,0,0,0,0,0,0,7.1004E+11,574464,93696,1144100,36461240292,0,30,20
975,9/13/2021 10:06,svc.ownproc.s0.uc0.host2000000000000000_1.0.0.0_neutral__1234567890abc,,,LogonId,S-1-5-5-0-965719,,471,338,0,0,0,0,0,0,0,4800315602,0,0,20,5751080,0,0,0
976,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_01042bb7f11c17c4\RtkAudUService64.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,364,0,0,0,0,0,0,0,6.9204E+11,298496,151552,6653,1522025758,0,12,35
977,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\taskhostw.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,372,0,0,0,0,0,0,0,7.0044E+11,1474560,1125888,1187488,32839028165,0,32,106
978,9/13/2021 10:06,svc.ownproc.s1.uce4fd8.host2000000000000000_1.0.0.0_neutral__1234567890abc,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,472,0,0,0,0,0,0,0,22800096783,1679872,5730304,9926,3887038512,3,76,1389
979,9/13/2021 10:06,Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,473,24576,192512,2369,934445108,0,1,47,7134912650,118784,0,308,104200920,0,5,0
980,9/13/2021 10:06,Microsoft.SkypeApp_15.75.140.0_x86__kzf8qxf38zg5c,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,5,0,0,30,4423960,0,0,0,22800096813,6258688,806912,166909,27541039986,40,239,194
981,9/13/2021 10:06,Microsoft.Windows.Search_1.14.2.19041_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,24,49152,110592,1386,665966956,0,2,19,19228396537,1022464,102400,5027,1452015400,0,45,25
982,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\dllhost.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,376,0,0,0,0,0,0,0,1.39188E+12,0,8192,17071,5020730622,0,0,2
983,9/13/2021 10:06,\Device\HarddiskVolume1\Malwarebytes\Anti-Malware\mbamtray.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,475,0,0,0,0,0,0,0,7.1004E+11,362496,413696,3311,631204758,2,20,71
984,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\sihost.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,476,0,0,0,0,0,0,0,7.0944E+11,649728,598528,413907,14654945771,1,19,138
985,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\svchost.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,377,0,0,0,0,0,0,0,3.5214E+12,1916416,29891072,1325558,53682219550,48,80,1392
986,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\ctfmon.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,477,0,0,0,0,0,0,0,7.0224E+11,16384,211456,2532718,79980636945,0,2,37
987,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\explorer.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,478,0,0,0,0,0,0,0,7.1004E+11,6698496,3532800,1783666,63350551835,0,204,332
988,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\SearchProtocolHost.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,380,0,0,0,0,0,0,0,3599850000,32768,0,6680,1656132600,0,1,0
989,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\SettingSyncHost.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,479,0,0,0,0,0,0,0,7.0044E+11,2085888,1683456,1775,735160957,3,60,406
990,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\RuntimeBroker.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,480,0,0,0,0,0,0,0,7.1004E+11,9340928,401408,317224,10956865280,0,187,93
991,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\SecurityHealthSystray.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,482,0,0,0,0,0,0,0,6.8784E+11,0,0,81,5555680,0,0,0
992,9/13/2021 10:06,\Device\HarddiskVolume1\CCleaner\CCleaner64.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,483,0,0,0,0,0,0,0,7.1004E+11,7437824,1134592,38794,16029439681,22,237,221
993,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\ApplicationFrameHost.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,484,0,0,0,0,0,0,0,6.8784E+11,0,0,143,25010480,0,0,0
994,9/13/2021 10:06,\Device\HarddiskVolume1\Yandex\Punto Switcher\punto.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,485,0,0,0,0,0,0,0,7.1004E+11,484352,180224,43742,8951657864,0,18,44
995,9/13/2021 10:06,\Device\HarddiskVolume1\Yandex\Punto Switcher\ps64ldr.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,486,0,0,0,0,0,0,0,6.9864E+11,0,32768,5429,1220423839,0,0,6
996,9/13/2021 10:06,Microsoft.WindowsFeedbackHub_1.2106.1801.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,488,9445888,65536,1306,504121600,0,552,16,0,0,0,0,0,0,0,0
997,9/13/2021 10:06,microsoft.windowscommunicationsapps_16005.14326.20206.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,39,131584,32768,256,157427360,0,2,8,21233595,7827456,221184,1051,570496920,1,322,39
998,9/13/2021 10:06,svc.svchost.s1.uce4fd8.host2000000000000000_1.0.0.0_neutral__1234567890abc,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,489,0,0,1,69040,0,0,0,10799988256,94208,102400,1088,327905039,0,4,21
999,9/13/2021 10:06,MicrosoftWindows.Client.CBS_120.2212.3530.0_x64__cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,490,0,16384,592,251838479,0,0,4,17052228487,44032,1802240,4665,1713315558,8,4,96
1000,9/13/2021 10:06,Microsoft.Windows.ContentDeliveryManager_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,491,3788800,131072,803,330121400,0,182,32,0,0,0,0,0,0,0,0
